Player,Tm,Tm_name,Opp,Opp_name,points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
David Duke Jr.,26,SAS,14,MEM,0.0,0.0,2.0,0.0,0.0,0.0,1,26,14,3.0,6.6,6.6,2.6,0.0,2.0,0.0
David Roddy,0,ATL,5,CLE,2.4,1.4,4.4,2.0,0.0,5.0,1,0,5,3.0,5.2,2.0,1.0,0.0,0.0,0.0
Davion Mitchell,27,TOR,14,MEM,7.2,5.2,1.6,9.0,2.0,1.0,1,27,14,5.0,5.8,3.8,1.8,6.0,0.0,5.0
Day'Ron Sharpe,2,BRK,15,MIA,9.8,2.0,5.4,11.0,2.0,4.0,1,2,15,2.0,7.2,2.6,2.6,7.0,3.0,0.0
De'Aaron Fox,26,SAS,4,CHO,21.4,6.6,3.8,24.0,13.0,5.0,1,26,4,2.0,16.8,3.6,6.2,24.893617021276597,4.9361702127659575,6.276595744680851
De'Andre Hunter,0,ATL,26,SAS,20.0,1.0,4.0,20.0,0.0,0.0,1,0,26,2.0,20.0,5.6,4.6,27.0,6.0,1.0
De'Anthony Melton,9,GSW,6,DAL,9.6,2.6,3.2,19.0,2.0,10.0,1,9,6,2.0,15.2,4.0,6.2,10.333333333333334,3.3333333333333335,2.8333333333333335
DeAndre Jordan,7,DEN,21,ORL,2.8,0.6,4.2,2.0,2.0,4.0,1,7,21,1.0,9.4,4.4,2.6,4.0,7.0,0.0
DeMar DeRozan,25,SAC,24,POR,21.0,3.0,2.6,19.0,2.0,2.0,1,25,24,1.0,16.4,4.8,3.0,23.0,4.0,3.0
Dean Wade,5,CLE,22,PHI,6.0,1.6,5.2,8.0,3.0,8.0,1,5,22,2.0,10.6,4.0,1.6,6.0,4.0,2.0
Deandre Ayton,24,POR,25,SAC,20.0,2.2,11.6,8.0,2.0,9.0,1,24,25,2.0,14.4,5.8,1.4,26.0,9.0,2.0
Dejounte Murray,18,NOP,1,BOS,21.6,7.6,6.4,27.0,6.0,5.0,1,18,1,2.0,15.4,5.6,4.8,26.0,9.0,8.0
Delon Wright,16,MIL,20,OKC,2.4,2.6,1.0,0.0,2.0,0.0,1,16,20,19.0,14.8,4.6,2.2,2.5,1.7692307692307692,1.8461538461538463
Deni Avdija,24,POR,25,SAC,16.2,3.2,6.2,6.0,1.0,4.0,1,24,25,2.0,18.6,7.4,4.2,20.0,9.0,5.0
Dennis Schröder,9,GSW,21,ORL,11.6,5.2,3.6,5.0,5.0,6.0,1,9,21,3.0,12.8,2.6,5.0,20.0,2.0,7.0
