Player,Tm,Tm_name,Opp,Opp_name,points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
Taylor Hendricks,28,UTA,6,DAL,4.666666666666667,0.6666666666666666,5.0,0.0,0.0,7.0,1,28,6,3.0,7.8,2.8,2.2,4.666666666666667,5.0,0.6666666666666666
Taze Moore,24,POR,14,MEM,3.0,0.5,4.0,4.0,1.0,4.0,1,24,14,3.0,11.2,6.2,1.6,3.0,4.0,0.5
Terance Mann,12,LAC,13,LAL,3.8,0.4,2.8,7.0,0.0,6.0,1,12,13,2.0,12.6,4.2,2.8,6.027027027027027,2.891891891891892,1.5945945945945945
Terrence Shannon,17,MIN,0,ATL,1.8,0.6,0.4,2.0,1.0,1.0,1,17,0,4.0,7.4,2.2,1.0,1.5,0.2,0.5
Terrence Shannon Jr. ,17,MIN,10,HOU,2.5,0.5,0.0,0.0,0.0,0.0,1,17,10,1.0,6.8,4.0,1.4,2.5,0.0,0.5
Terry Rozier,15,MIA,2,BRK,15.4,3.2,4.0,20.0,2.0,5.0,1,15,2,2.0,7.6,3.8,1.2,16.0,8.0,2.0
Thomas Bryant,11,IND,12,LAC,7.6,1.6,3.2,5.0,2.0,3.0,1,11,12,2.0,12.0,5.8,2.0,6.294117647058823,3.764705882352941,0.8823529411764706
Tidjane Salaün,4,CHO,26,SAS,3.4,0.8,2.4,10.0,1.0,4.0,1,4,26,2.0,12.0,3.4,2.0,4.777777777777778,3.888888888888889,0.8888888888888888
Tidjane Salaün ,4,CHO,20,OKC,3.4,1.8,4.2,6.0,0.0,4.0,1,4,20,2.0,6.0,3.4,1.2,4.962962962962963,4.185185185185185,1.1111111111111112
Tim Hardaway,8,DET,7,DEN,12.2,1.8,1.8,6.0,3.0,4.0,1,8,7,2.0,9.2,3.0,2.0,10.0,2.0,1.5517241379310345
Tim Hardaway Jr.,8,DET,22,PHI,10.2,1.6,2.6,20.0,1.0,3.0,1,8,22,2.0,6.8,4.0,1.8,12.157894736842104,2.6842105263157894,1.631578947368421
Tobias Harris,8,DET,22,PHI,16.4,1.6,4.6,8.0,1.0,2.0,1,8,22,2.0,8.8,5.2,1.8,4.0,7.0,2.0
Torrey Craig,3,CHI,4,CHO,7.8,0.4,3.2,6.0,0.0,3.0,1,3,4,2.0,15.4,5.6,1.6,6.888888888888889,2.7777777777777777,0.5555555555555556
Tosan Evbuomwan,2,BRK,15,MIA,13.0,2.4,4.6,15.0,1.0,5.0,1,2,15,2.0,11.2,4.2,1.8,2.0,1.0,1.0
Toumani Camara,24,POR,25,SAC,12.6,1.8,7.6,13.0,2.0,7.0,1,24,25,2.0,7.6,4.2,2.4,11.0,4.0,2.0
Trae Young,0,ATL,16,MIL,27.2,11.4,1.8,32.0,12.0,2.0,1,0,16,2.0,16.2,6.2,4.6,35.0,7.0,10.0
Trayce Jackson-Davis,9,GSW,13,LAL,5.0,1.4,3.8,2.0,0.0,1.0,1,9,13,6.0,19.4,4.6,7.4,4.0,6.0,1.0
Tre Jones,26,SAS,15,MIA,8.0,3.8,1.6,9.0,7.0,0.0,1,26,15,1.0,9.2,4.6,4.4,5.0,2.0,3.0
Tre Mann,4,CHO,8,DET,10.6,2.4,2.4,19.0,6.0,3.0,1,4,8,2.0,20.0,3.4,7.2,4.0,3.0,2.0
Trendon Watford,2,BRK,15,MIA,5.4,1.0,2.4,4.0,2.0,3.0,1,2,15,3.0,10.4,3.4,5.2,8.176470588235293,3.0588235294117645,1.3529411764705883
Trentyn Flowers,12,LAC,3,CHI,4.5,0.0,2.0,9.0,0.0,4.0,1,12,3,47.0,14.0,3.0,6.4,4.5,2.0,0.0
Trevelin Queen,21,ORL,7,DEN,1.6,0.4,1.2,0.0,0.0,1.0,1,21,7,1.0,11.2,3.2,4.2,8.0,1.0,2.0
Trey Alexander,7,DEN,21,ORL,0.6,0.6,0.6,0.0,0.0,0.0,1,7,21,1.0,9.8,3.8,1.4,0.875,0.25,0.375
Trey Jemison,13,LAL,12,LAC,1.6,0.6,3.8,0.0,0.0,2.0,1,13,12,3.0,6.8,3.6,2.0,2.142857142857143,2.9047619047619047,0.5238095238095238
Trey Lyles,25,SAC,24,POR,4.2,1.0,4.2,8.0,0.0,0.0,1,25,24,1.0,2.4,1.2,1.8,3.0,0.0,0.0
Trey Murphy,18,NOP,14,MEM,22.4,2.4,4.8,21.0,2.0,3.0,1,18,14,1.0,7.4,3.0,0.4,21.0,9.0,0.0
Trey Murphy III,18,NOP,7,DEN,28.6,3.8,5.0,41.0,3.0,3.0,1,18,7,2.0,19.4,6.2,2.2,41.0,3.0,3.0
Tristan Da Silva,21,ORL,7,DEN,7.8,2.0,3.0,11.0,3.0,2.0,1,21,7,1.0,23.2,5.6,4.0,12.0,4.0,2.0
Tristan Thompson,5,CLE,29,WAS,0.4,0.6,3.0,0.0,3.0,9.0,1,5,29,5.0,7.8,3.8,1.0,0.0,3.0,0.0
Tristan Vukcevic,29,WAS,5,CLE,6.8,1.0,2.6,12.0,1.0,6.0,1,29,5,2.0,8.8,5.6,1.8,3.909090909090909,1.6363636363636365,0.8181818181818182
Tristen Newton,17,MIN,29,WAS,0.6,0.2,0.0,0.0,0.0,0.0,1,17,29,40.0,3.4,2.6,0.8,0.5,0.16666666666666666,0.16666666666666666
Ty Jerome,5,CLE,29,WAS,14.0,4.6,3.2,13.0,5.0,4.0,1,5,29,2.0,3.2,1.6,1.0,2.0,0.0,1.0
TyTy Washington,23,PHO,19,NYK,2.6666666666666665,1.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1,23,19,5.0,6.0,2.2,1.2,2.6666666666666665,0.3333333333333333,1.3333333333333333
TyTy Washington Jr.,23,PHO,11,IND,0.0,0.0,0.0,0.0,0.0,0.0,1,23,11,3.0,10.4,4.2,2.4,0.0,0.0,0.0
Tyler Herro,15,MIA,2,BRK,23.2,8.4,6.4,30.0,7.0,7.0,1,15,2,2.0,10.2,3.4,5.6,25.0,1.0,8.0
Tyler Kolek,19,NYK,13,LAL,1.0,1.2,0.4,3.0,3.0,0.0,1,19,13,5.0,18.6,4.0,2.8,1.8928571428571428,0.5357142857142857,0.7857142857142857
Tyler Smith,16,MIL,4,CHO,4.4,0.6,2.2,12.0,3.0,7.0,1,16,4,2.0,12.4,4.0,3.0,2.75,1.1875,0.25
Tyrese Haliburton,11,IND,12,LAC,18.6,6.6,3.8,0.0,6.0,2.0,1,11,12,2.0,12.4,3.8,2.8,17.775510204081634,3.5918367346938775,8.53061224489796
Tyrese Martin,2,BRK,15,MIA,6.6,1.4,4.6,8.0,2.0,2.0,1,2,15,2.0,17.2,4.2,7.8,5.0,6.0,1.0
Tyrese Maxey,22,PHI,8,DET,34.0,8.2,3.2,31.0,5.0,3.0,1,22,8,2.0,20.4,5.0,5.0,28.0,4.0,6.0
Tyus Jones,23,PHO,28,UTA,6.0,3.4,0.6,10.0,3.0,0.0,1,23,28,2.0,14.0,3.0,6.6,0.0,3.0,6.0
Ulrich Chomche,27,TOR,21,ORL,0.8,0.2,0.8,0.0,0.0,0.0,1,27,21,20.0,20.0,2.6,5.4,0.8333333333333334,1.0,0.3333333333333333
Vasilije Micić,4,CHO,29,WAS,11.4,4.0,3.2,0.0,2.0,3.0,1,4,29,2.0,12.8,2.4,4.6,6.0,0.0,1.0
Victor Wembanyama,26,SAS,4,CHO,24.8,2.8,12.0,24.0,2.0,12.0,1,26,4,2.0,18.2,2.8,5.4,24.41860465116279,10.906976744186046,3.627906976744186
Vince Williams,14,MEM,7,DEN,5.333333333333333,3.0,3.6666666666666665,3.0,5.0,1.0,1,14,7,2.0,15.0,9.6,3.6,3.0,1.0,5.0
Vince Williams Jr.,14,MEM,27,TOR,4.0,2.0,4.0,0.0,0.0,0.0,1,14,27,3.0,15.8,3.4,3.6,4.0,4.0,2.0
Vit Krejci,0,ATL,16,MIL,8.4,1.2,3.0,5.0,2.0,5.0,1,0,16,2.0,15.4,6.2,1.8,0.0,0.0,0.0
Vlatko Čančar,7,DEN,14,MEM,2.25,0.0,2.0,2.0,0.0,1.0,1,7,14,2.0,13.6,7.0,2.6,2.0,1.0,0.0
Walker Kessler,28,UTA,23,PHO,9.0,1.2,12.8,15.0,2.0,18.0,1,28,23,2.0,15.0,7.8,4.4,16.0,13.0,0.0
Wendell Carter,21,ORL,2,BRK,6.6,2.2,6.0,2.0,1.0,3.0,1,21,2,2.0,8.4,6.6,2.6,14.0,7.0,1.0
Wendell Carter Jr.,21,ORL,7,DEN,9.2,3.4,7.2,8.0,3.0,8.0,1,21,7,1.0,15.2,11.6,3.8,16.0,13.0,5.0
Wendell Moore,8,DET,7,DEN,4.4,1.0,2.8,0.0,2.0,1.0,1,8,7,16.0,16.2,11.2,2.8,4.461538461538462,3.230769230769231,1.3846153846153846
Wendell Moore Jr.,8,DET,6,DAL,1.0,0.4,0.4,0.0,1.0,0.0,1,8,6,2.0,10.6,6.8,1.6,0.7142857142857143,0.2857142857142857,0.7142857142857143
Xavier Tillman,1,BOS,11,IND,1.0,0.0,0.8,5.0,0.0,1.0,1,1,11,2.0,5.0,5.2,0.6,5.0,1.0,0.0
Xavier Tillman Sr.,1,BOS,10,HOU,0.4,0.2,0.4,0.0,0.0,1.0,1,1,10,7.0,14.2,7.6,1.6,0.0,0.0,0.0
Yongxi Cui,2,BRK,3,CHI,0.6,0.0,0.4,0.0,0.0,0.0,1,2,3,1.0,8.2,6.2,2.4,0.6,0.4,0.0
Yuki Kawamura,14,MEM,27,TOR,2.0,1.2,1.0,0.0,1.0,1.0,1,14,27,2.0,5.2,5.2,1.2,1.263157894736842,0.3684210526315789,0.7368421052631579
Yves Missi,18,NOP,7,DEN,5.2,0.8,7.8,8.0,3.0,6.0,1,18,7,2.0,8.2,6.4,1.6,8.0,6.0,3.0
Zaccharie Risacher,0,ATL,16,MIL,16.2,1.6,3.4,6.0,0.0,1.0,1,0,16,2.0,3.0,1.0,0.0,2.0,0.0,0.0
Zach Collins,26,SAS,15,MIA,2.0,0.8,1.0,3.0,1.0,0.0,1,26,15,1.0,6.4,4.0,2.0,2.0,3.0,2.0
Zach Edey,14,MEM,27,TOR,12.6,1.2,9.0,16.0,1.0,14.0,1,14,27,2.0,9.2,6.6,1.2,21.0,16.0,2.0
Zach LaVine,25,SAC,24,POR,23.6,3.4,3.6,13.0,3.0,1.0,1,25,24,1.0,13.2,4.6,3.2,27.0,4.0,5.0
Zeke Nnaji,7,DEN,21,ORL,4.8,0.0,3.2,4.0,0.0,5.0,1,7,21,1.0,7.8,3.6,3.2,0.0,1.0,0.0
Ziaire Williams,2,BRK,15,MIA,10.2,1.0,4.6,4.0,0.0,3.0,1,2,15,2.0,1.0,2.2,0.8,1.0,5.0,1.0
Zion Williamson,18,NOP,7,DEN,25.2,4.4,8.8,14.0,5.0,6.0,1,18,7,2.0,14.0,4.8,4.0,14.0,6.0,5.0
Zyon Pullin,14,MEM,26,SAS,26.0,4.0,7.2,0.0,0.0,0.0,1,14,26,3.0,14.4,8.4,3.8,0.0,0.0,0.0
