points_rolling_avg,assists_rolling_avg,rebounds_rolling_avg,points_last_game,assists_last_game,rebounds_last_game,Home,Tm,Opp,rest_days,opp_avg_PTS_allowed,opp_avg_TRB_allowed,opp_avg_AST_allowed,matchup_pts,matchup_reb,matchup_ast
2.2,2.6,2.4,7.0,3.0,6.0,1,12,13,3.0,9.8,1.8,3.2,5.818181818181818,3.340909090909091,2.772727272727273
10.6,2.6,5.6,12.0,2.0,6.0,1,20,2,2.0,7.4,2.2,1.6,10.137254901960784,3.5686274509803924,1.5686274509803921
1.6,1.2,0.4,6.0,1.0,0.0,1,3,24,2.0,13.6,3.0,6.8,3.7872340425531914,1.4893617021276595,1.2127659574468086
26.2,6.2,4.0,26.0,8.0,3.0,1,16,22,2.0,11.2,3.8,1.4,30.0,9.0,6.0
9.6,1.8,2.2,4.0,5.0,1.0,1,22,16,1.0,3.8,1.8,2.2,2.0,1.0,1.0
9.4,0.4,2.2,13.0,0.0,4.0,1,12,13,3.0,12.0,4.6,3.4,11.15,4.2,0.85
0.4,1.6,0.6,0.0,2.0,0.0,1,26,15,2.0,13.4,5.6,3.0,3.129032258064516,0.7419354838709677,1.935483870967742
17.4,3.8,5.2,21.0,5.0,2.0,1,26,15,2.0,15.2,3.6,5.6,16.147058823529413,3.6176470588235294,3.0
9.8,3.6,3.4,4.0,7.0,6.0,1,29,25,1.0,11.2,6.4,3.2,12.553191489361701,5.0638297872340425,3.5106382978723403
12.2,1.8,5.2,15.0,3.0,4.0,1,2,20,2.0,8.0,4.4,1.4,9.394736842105264,4.7894736842105265,1.4210526315789473
13.0,1.8,3.2,18.0,3.0,5.0,1,20,2,2.0,13.6,4.2,2.2,9.708333333333334,4.375,1.6666666666666667
3.2,1.0,0.4,0.0,0.0,0.0,1,7,21,2.0,17.0,5.4,3.2,2.727272727272727,1.0,1.6818181818181819
24.2,4.8,3.0,30.0,8.0,7.0,1,7,21,2.0,6.4,1.8,0.8,20.155555555555555,4.022222222222222,6.111111111111111
5.8,1.6,6.2,5.0,2.0,5.0,1,25,29,3.0,8.2,6.0,2.8,6.463414634146342,4.634146341463414,0.9512195121951219
1.0,0.2,0.0,1.0,0.0,0.0,1,29,25,6.0,30.8,7.6,4.6,1.8333333333333333,0.8055555555555556,0.19444444444444445
7.8,0.8,3.4,4.0,0.0,3.0,1,13,12,6.0,6.8,4.0,1.6,8.885714285714286,3.857142857142857,1.3142857142857143
1.0,0.0,0.0,0.0,0.0,0.0,1,29,25,6.0,10.6,5.2,1.0,2.3529411764705883,1.1176470588235294,0.3235294117647059
9.8,1.2,4.4,11.0,1.0,5.0,1,2,20,2.0,12.8,9.6,6.4,9.432432432432432,3.918918918918919,0.8108108108108109
25.6,3.8,6.2,21.0,4.0,4.0,1,21,7,2.0,8.2,6.2,1.4,22.31578947368421,7.157894736842105,4.947368421052632
5.6,0.6,2.0,10.0,0.0,3.0,1,29,25,3.0,20.4,4.4,3.2,7.78125,4.5,0.9375
